Company\Brand	Ads	Industry	Latest	First	Links
21st Century Studios	14	Movies	2019	1994	
7 Up	11	Soft Drinks	2001	1992	
  Diet 7 Up	3	Soft Drinks	1992	--	
84 Lumber	1	Building Supplies	2017	--	
Accenture	4	Technology	2001	--	
Acura	3	Automobiles	2016	2001	
  Acura MDX	1	SUVs	2001	--	
  Acura NSX	2	Sports Cars	2016	2012	
ADT	2	Home Security	2020	2019	
Advil	5	Pain Relief	2016	1985	
Aflac	1	Insurance	2017	--	
Airbnb	1	Internet Companies	2017	--	
Alamo	2	Rental Cars	1994	1988	
Aleve	1	Pain Relief	2006	--	
Alfa Romeo	3	Cars	2017	--	
Alka Seltzer	1		1991	--	
Allstate Insurance	6	Insurance	2016	1987	
  Esurance	4	Insurance	2016	2015	
Always	1	Health & Beauty	2015	--	
Amazon Retail Brands	9	Online Retailers	2021	2016	
  Amazon Alexa	4	Virtual Assistants	2021	2018	
  Amazon Echo	1	Audio & Sound	2016	--	
  Amazon Prime	4	Online Streaming	2021	2018	
American Airlines	5		2005	1980	
American Dairy Association	1	Food & Beverage	1986	--	
American Express	15	Credit Cards	1999	1982	
American Heart Association	1	Health & Beauty	2007	--	
American Petroleum Institute	1	Oil & Gas	2017	--	
Ameriquest	4	Financial Services	2006	2005	
Amp	1	Energy Drinks	2008	--	
Anacin	3	Pharmaceutical	1988	1980	
AOL	4	Internet Companies	2004	2003	
Apartments.com	1	Real Estate	2016	--	
ARCO	2	Oil & Gas	2005	1980	
Armani	1	Health & Beauty	1993	--	
AstraZeneca	1	Pharmaceutical	2016	--	
AT&T Mobility	4	Mobile Phones	2001	--	
Atari	2	Entertainment	1984	1983	
Audi	15	Cars	2020	1988	
  Audi 90 Quattro	1	Automobiles	1988	--	
  Audi A3	2	Cars	2014	2010	
  Audi e-tron	2	Cars	2020	2019	
  Audi R8	2	Sports Cars	2016	2008	
  Audi S7	1	Cars	2012	--	
Autobytel	2	Automobiles Sales	1998	1997	
AutoTrader.com	1	Automobiles Sales	2000	--	
Avocados From Mexico	7	Food	2022	2015	
AXE	3	Health & Beauty	2016	2013	
  AXE Apollo	1	Body Wash	2013	--	
Bai	1	Energy Drinks	2017	--	
Bank of America	1	Banking	2014	--	
Beats Electronics	2	Technology	2016	2014	
Beck's	1	Beer	2013	--	
  Beck's Sapphire	1	Beer	2013	--	
Beer Institute	1	Beer	2006	--	
