row,Year,Product_type,Brand,Title,Ticker,Mkt_Date,Mkt_Date_plus6,close,close_plus6,market_cap_cur,shares_out,year_inc,spx_close,spx_plus6,rtn_vs_spx,rtn,spx
27,1996,Film,Independence Day,,FOX,1/29/1996,7/29/1996,#VALUE!,#VALUE!,"$17,242,850,000 ","537,136,200",2018,672,840,#VALUE!,#VALUE!,0.249999888
30,1997,Film,Dante's Peak,,CMCSA,1/27/1997,7/28/1997,$5.63 ,$7.50 ,"$169,754,635,440 ","4,168,827,000",2001,766.23,655.85,0.477395223,0.333333333,-0.144061889
31,1997,Film,The Lost World: Jurassic Park,,CMCSA,1/27/1997,7/28/1997,$5.63 ,$7.50 ,"$169,754,635,440 ","4,168,827,000",2001,766.23,655.85,0.477395223,0.333333333,-0.144061889
32,1997,Film,The Saint,,VIAC,1/27/1997,7/28/1997,#VALUE!,#VALUE!,#FIELD!,"403,407,500",2005,766.23,655.85,#VALUE!,#VALUE!,-0.144061889
43,1998,Film,Armageddon,,DIS,1/26/1998,7/27/1998,$32.00 ,$36.11 ,"$183,393,154,730 ","1,826,807,000",2018,586.92,533.08,0.220124476,0.128381313,-0.091743163
44,1998,Film,Lost in Space,,N/A,1/26/1998,7/27/1998,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,586.92,533.08,#VALUE!,#VALUE!,-0.091743163
45,1998,Film,Mercury Rising,,CMCSA,1/26/1998,7/27/1998,$10.85 ,$14.35 ,"$169,754,635,440 ","4,168,827,000",2001,586.92,533.08,0.414198987,0.322455824,-0.091743163
46,1998,Film,Sphere,,TWX,1/26/1998,7/27/1998,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,586.92,533.08,#VALUE!,#VALUE!,-0.091743163
47,1998,Film,The Mask of Zorro,,SNE,1/26/1998,7/27/1998,$47.09 ,$45.63 ,"$115,531,900,000 ","1,261,082,000",1946,586.92,533.08,0.060554344,-0.031188819,-0.091743163
48,1998,Film,The Wedding Singer,,N/A,1/26/1998,7/27/1998,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,586.92,533.08,#VALUE!,#VALUE!,-0.091743163
66,1999,Film,Austin Powers: The Spy Who Shagged Me,,N/A,2/1/1999,8/2/1999,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,537.92,669.31,#VALUE!,#VALUE!,0.2442443
67,1999,Film,The Corruptor,,N/A,2/1/1999,8/2/1999,#VALUE!,#VALUE!,#FIELD!,#FIELD!,#FIELD!,537.92,669.31,#VALUE!,#VALUE!,0.2442443
